Категория;Наименование;Производитель;Модель;Индекс нагрузки;Индекс скорости;Норма слойности;Рисунок протектора;Цена;Количество
Индустр. и с/х;4,00-8 Mitas FL-08;Mitas;FL-08;97;A5;нс10;Вилочный мини-погрузчик;773646.00;11
Индустр. и с/х;5,00-8 Mitas FL-08;Mitas;FL-08;106;A5;нс08;Вилочный мини-погрузчик;888259.00;6
Индустр. и с/х;16х6-8 Mitas FL-08;Mitas;FL-08;113;A5;нс16;Вилочный мини-погрузчик;1113394.00;2
Индустр. и с/х;18х7-8 Mitas FL-08;Mitas;FL-08;125;A5;нс16;Вилочный мини-погрузчик;1264849.00;3
Индустр. и с/х;6,00-9 Mitas FL-08;Mitas;FL-08;121;A5;нс12;Вилочный мини-погрузчик;1338529.00;>20
Индустр. и с/х;21х8-9 Mitas FL-08;Mitas;FL-08;134;A5;нс16;Вилочный мини-погрузчик;1846106.00;2
Индустр. и с/х;4,00-10 Mitas IM-06;Mitas;IM-06;62;A6;нс04;Тракторный ведомая ось;491203.00;12
Индустр. и с/х;5,0-10 Mitas TS-03;Mitas;TS-03;70/58;A8;нс04;Тракторный;798205.00;1
Индустр. и с/х;6,50-10 Mitas FL-08;Mitas;FL-08;125;A5;нс12;Вилочный мини-погрузчик;1571851.00;>20
Индустр. и с/х;4,00-12 Continental AS-Farmer T55;Continental;AS-Farmer T55;;;нс02;Тракторный;1060180.00;8
Индустр. и с/х;7,00-12 Mitas FL-08;Mitas;FL-08;134;A5;нс14;Вилочный мини-погрузчик;1981186.00;16
Индустр. и с/х;5,00-15 Mitas TS-06;Mitas;TS-06;84/71;A8;нс06;Тракторный;1051994.00;20
Индустр. и с/х;6,5/80-15 Mitas TS-06;Mitas;TS-06;94/82;A8;нс06;Тракторный;1375369.00;20
Индустр. и с/х;8,15-15 Mitas FL-08;Mitas;FL-08;146;A5;нс14;Вилочный мини-погрузчик;2898100.00;1
Индустр. и с/х;8,25-15 Mitas FL-08;Mitas;FL-08;153;A5;нс18;Вилочный мини-погрузчик;4318496.00;4
Индустр. и с/х;10,0/75-15,3 Mitas SK-01;Mitas;SK-01;127;A6;нс10;Погрузчик скольжения;2967687.00;20
Индустр. и с/х;10,0/75-15,3 Mitas TS-05;Mitas;TS-05;118/106;A8;нс08;Тракторный ведомая ось;2632032.00;11
Индустр. и с/х;11,5/80-15,3 Mitas IM-04;Mitas;IM-04;139;A8;нс14;Универс. ведомая ось;2346724.00;>20
Индустр. и с/х;12,5/80-15,3 Mitas IM-04;Mitas;IM-04;141;A8;нс14;Универс. ведомая ось;3610345.00;2
Индустр. и с/х;5,50-16 Cultor AS-Front 04;Cultor;AS-Front 04;82;A8;нс06;Тракторный ведомая ось;1011879.00;1
Индустр. и с/х;5,50-16 Cultor AS-Front 06;Cultor;AS-Front 06;76;A8;нс06;Тракторный ведомая ось;1264849.00;6
Индустр. и с/х;6,50-16 Mitas TF-03;Mitas;TF-03;91/83;A6/A8;нс08;Тракторный ведомая ось;1535011.00;5
Индустр. и с/х;9,00-16 Кама НкФ-8;Кама;НкФ-8;121;A6;нс10;Несущая;1317180.00;10
Индустр. и с/х;12,00-16 Кама Л-163;Кама;Л-163;126;A6;нс08;Несущая;1667355.00;1
Индустр. и с/х;10-16,5 Mitas SK-02;Mitas;SK-02;131;A3;нс08;Погрузчик скольжения;3634905.00;1
Индустр. и с/х;12-16,5 Mitas SK-02;Mitas;SK-02;140;A3;нс10;Погрузчик скольжения;4572285.00;4
Индустр. и с/х;12,5/80-18 Mitas TR-09;Mitas;TR-09;138;A8;нс12;Тракторный;6017241.00;3
Индустр. и с/х;16,5/70-18 Кама КФ-97-1;Кама;КФ-97-1;149;A6;нс10;Несущая;4087695.00;12
Индустр. и с/х;7,50-20 Mitas TF-01;Mitas;TF-01;103A6;96A8;нс06;Тракторный ведомая ось;1878853.00;4
Индустр. и с/х;9,00-20 Mitas EM-22;Mitas;EM-22;140;B;нс14;Экскаваторный;6021336.00;18
Индустр. и с/х;10,00-20 Mitas NB-38;Mitas;NB-38;146;B;нс16;Экскаваторный;6074548.00;>20
Индустр. и с/х;11,00-20 Mitas EM-22;Mitas;EM-22;148;B;нс16;Экскаваторный;6130833.00;2
Индустр. и с/х;14,5-20 Mitas MPT-04;Mitas;MPT-04;142;D;нс14;Повышенной проходимости;8952182.00;6
Индустр. и с/х;400/70-20 Mitas TR-01;Mitas;TR-01;150;B;нс14;Тракторный;8223564.00;2
Индустр. и с/х;16,0/70-20 Cultor Agro-Ind 20;Cultor;Agro-Ind 20;142;A8;нс14;Тракторный;7699614.00;1
Индустр. и с/х;445/65R22,5 Mitas AR-01;Mitas;AR-01;169;F;;Высоскоростная;16434848.00;4
Индустр. и с/х;16,5/85-24 Continental AS-Farmer;Continental;AS-Farmer;;;нс14;Несущая;13119225.00;2
Индустр. и с/х;11,2-24 Cultor AS-Agri 10;Cultor;AS-Agri 10;116/108;A6/A8;нс08;Универс.;3395853.00;2
Индустр. и с/х;320/70R24 Cultor Radial-70;Cultor;Radial-70;116;A8/B;;Тракторный;4707776.00;4
Индустр. и с/х;360/70R24 Cultor Radial-70;Cultor;Radial-70;122;A8/B;;Тракторный;8162163.00;2
Индустр. и с/х;14,9-24 Mitas TD-19;Mitas;TD-19;128/121;A6/A8;нс08;Тракторный;5535658.00;4
Индустр. и с/х;14,9-24 Mitas UK-5 INDUSTR;Mitas;UK-5 INDUSTR;123/128;A8/A8;нс08;Катки не гладк;7637190.00;1
Индустр. и с/х;15,5/80-24 Mitas TR-01;Mitas;TR-01;156/144;A8;нс14;Тракторный;9660334.00;5
Индустр. и с/х;405/70-24 Mitas MPT-01;Mitas;MPT-01;152;B;нс14;Тракторный;12022203.00;4
Индустр. и с/х;420/70R24 Волтайр Voltyre Agro DR-106;Волтайр;Voltyre Agro DR-106;130/127;A8/B;;Тракторный;5040000.00;1
Индустр. и с/х;16,9-24 Cultor INDUSTRIAL 40;Cultor;INDUSTRIAL 40;149;A8;нс12;Экскаватор-погрузчик;8841662.00;15
Индустр. и с/х;17,5L-24 Cultor INDUSTRIAL 10;Cultor;INDUSTRIAL 10;146;A8;нс12;"Клюшка";9197784.00;2
Индустр. и с/х;17,5L-24 Mitas TR-01;Mitas;TR-01;144;A8;нс10;Тракторный;9910029.00;2
Индустр. и с/х;460/70-24 Mitas TR-01;Mitas;TR-01;159;A8;;Тракторный;13217466.00;3
Индустр. и с/х;500/70-24 Mitas TI-05;Mitas;TI-05;164;A8;;Универс.;16226086.00;4
Индустр. и с/х;21,3R24 Кама ФД-14А;Кама;ФД-14А;155;A6;нс12;Повышенной проходимости;7302345.00;>20
Индустр. и с/х;15,5-25 Mitas EM-60;Mitas;EM-60;149;B;нс12;Фронт.погрузчик;15116786.00;4
Индустр. и с/х;17,5-25 Mitas EM-20;Mitas;EM-20;158;B;нс16;Фронт.погрузчик;18182714.00;6
Индустр. и с/х;20,5-25 Mitas EM-20;Mitas;EM-20;167;B;нс16;Фронт.погрузчик;24502864.00;2
Индустр. и с/х;20,5-25 Mitas EM-30;Mitas;EM-30;167;B;нс16;Фронт.погрузчик;26975256.00;2
Индустр. и с/х;23,5-25 Mitas EM-20;Mitas;EM-20;177;B;нс20;Фронт.погрузчик;34019931.00;4
Индустр. и с/х;23,5-25 Mitas EM-30;Mitas;EM-30;177;B;нс20;Фронт.погрузчик;36451388.00;1
Индустр. и с/х;18,4-26 Mitas TI-06;Mitas;TI-06;156;A8;нс12;Тракторный;11899402.00;2
Индустр. и с/х;23,1-26 Mitas UK-5;Mitas;UK-5;162;A8;нс12;Катки не гладк;22026380.00;3
Индустр. и с/х;16,9-28 Mitas TG-01;Mitas;TG-01;151;A6;нс12;Тракторный;9979616.00;4
Индустр. и с/х;440/80R28 Mitas TI-20;Mitas;TI-20;156;A8;;Тракторный;14758207.00;5
Индустр. и с/х;14,9R30 Cultor Radial-S;Cultor;Radial-S;129;A8;;Тракторный;9414733.00;1
Индустр. и с/х;16,9-30 Mitas TI-09;Mitas;TI-09;154;A8;нс14;Тракторный;14400447.00;2
Индустр. и с/х;480/70R30 Cultor Radial-70;Cultor;Radial-70;141;A8/B;;Тракторный;13512188.00;3
Индустр. и с/х;9,5-32 Cultor AS-Agri 13;Cultor;AS-Agri 13;110/102;A6/A8;нс06;Тракторная ведущая ось;3812967.00;>20
Индустр. и с/х;650/75R32 Mitas AC 70 G;Mitas;AC 70 G;172/169;A8/B;;Тракторный;44127261.00;2
Индустр. и с/х;18,4-34 Cultor AS-Agri 19;Cultor;AS-Agri 19;142/134;A6/A8;нс10;Тракторная ведущая ось;11551467.00;13
Индустр. и с/х;16,9R38 Росава TR-201;Росава;TR-201;141;A8;нс08;;9510795.00;5
Индустр. и с/х;16,9-38 Cultor AS-Agri 13;Cultor;AS-Agri 13;152;A8;нс08;Тракторный;10479007.00;1
Индустр. и с/х;15,5-38 Волтайр Ф-2АД;Волтайр;Ф-2АД;133;A6;нс08;;5342850.00;10
