Категория;Наименование;Производитель;Модель;Ширина;Профиль;Диаметр;Индекс нагрузки;Индекс скорости;Норма слойности;Применяемость;Цена;Количество
Грузовые;12,00-18 Омск К-70;Омск;К-70;12,00;80;18;129/124;F/G;нс08;;3837600.00;6
Грузовые;8,25R20 Кама У-2;Кама;У-2;8,25;80;20;125/122;J;нс10;;1638843.00;>20
Грузовые;8,25R20 Кама У-2 с ОЛ;Кама;У-2 с ОЛ;8,25;80;20;125/122;J;нс10;;1705374.00;1
Грузовые;9,00R20 Кама ИН-142БМ;Кама;ИН-142БМ;9,00;80;20;136/133;J;нс12;;2040553.00;>20
Грузовые;10,00R20 Кама Кама-310;Кама;Кама-310;10,00;80;20;146/143;K;нс16;;3022090.00;9
Грузовые;11,00R20 Кама И-111АМ;Кама;И-111АМ;11,00;80;20;149/145;J;нс16;;3318110.00;19
Грузовые;11,00R20 Кама Кама-310;Кама;Кама-310;11,00;80;20;150/146;K;нс16;;3505491.00;18
Грузовые;12,00R20 Кама Кама-310;Кама;Кама-310;12,00;80;20;154/149;J;нс18;;3576232.00;5
Грузовые;12,00R20 Кама ИД-304, У-4;Кама;ИД-304, У-4;12,00;80;20;154/149;J;нс18;;4269330.00;>20
Грузовые;12,00R24 Кама NR 701;Кама;NR 701;12,00;80;24;160/156;K;;Универс.;8000923.00;2
Грузовые;1220*400-533 Кама ИП-184-1;Кама;ИП-184-1;1220;85;21;141;G;нс10;;5699738.00;4
